"","CoreArea","variable","value"
"283","Fontenelle","sip5_0_5",11.4836714202
"284","Fontenelle","sip5_5_15",13.297899609
"285","Fontenelle","sip50_0_5",27.6866136182
"286","Fontenelle","sip50_5_15",27.7092096712
"287","Fontenelle","sip95_0_5",41.2174850328
"288","Fontenelle","sip95_5_15",40.8543863028
"289","Grass Creek","bdmn_0_5",1.30270021923
"290","Grass Creek","bdmn_5_15",1.32077476385
"291","Grass Creek","bdp5_0_5",1.14893274728
"292","Grass Creek","bdp5_5_15",1.15108011409
"293","Grass Creek","bdp50_0_5",1.27984510164
"294","Grass Creek","bdp50_5_15",1.30522457019
"295","Grass Creek","bdp95_0_5",1.47541557189
"296","Grass Creek","bdp95_5_15",1.47252086986
"297","Grass Creek","clmn_0_5",15.6645599693
"298","Grass Creek","clmn_5_15",16.9959927672
"299","Grass Creek","clp5_0_5",6.62545116265
"300","Grass Creek","clp5_5_15",7.75294254682
"301","Grass Creek","clp50_0_5",14.5470692578
"302","Grass Creek","clp50_5_15",15.9107154983
"303","Grass Creek","clp95_0_5",25.3745373461
"304","Grass Creek","clp95_5_15",25.7745743271
"305","Grass Creek","samn_0_5",50.6801525781
"306","Grass Creek","samn_5_15",49.5343613946
"307","Grass Creek","sap5_0_5",22.1573002427
"308","Grass Creek","sap5_5_15",22.230809852
"309","Grass Creek","sap50_0_5",49.7012057469
"310","Grass Creek","sap50_5_15",49.1777933432
"311","Grass Creek","sap95_0_5",71.9860323698
"312","Grass Creek","sap95_5_15",70.3090914694
"313","Grass Creek","simn_0_5",35.1051603879
"314","Grass Creek","simn_5_15",34.8469027179
"315","Grass Creek","sip5_0_5",14.4011354412
"316","Grass Creek","sip5_5_15",15.465261912
"317","Grass Creek","sip50_0_5",35.2743596494
"318","Grass Creek","sip50_5_15",33.6956481542
"319","Grass Creek","sip95_0_5",43.6218815585
"320","Grass Creek","sip95_5_15",43.6776810422
"321","Greater South Pass 1","bdmn_0_5",1.3204546382
"322","Greater South Pass 1","bdmn_5_15",1.32669174798
"323","Greater South Pass 1","bdp5_0_5",1.10415220405
"324","Greater South Pass 1","bdp5_5_15",1.13509898775
"325","Greater South Pass 1","bdp50_0_5",1.30212380101
"326","Greater South Pass 1","bdp50_5_15",1.30599599747
"327","Greater South Pass 1","bdp95_0_5",1.49032059165
"328","Greater South Pass 1","bdp95_5_15",1.4915036737
"329","Greater South Pass 1","clmn_0_5",13.1172465562
"330","Greater South Pass 1","clmn_5_15",15.9245699148
"331","Greater South Pass 1","clp5_0_5",5.50843010239
"332","Greater South Pass 1","clp5_5_15",7.97094632659
"333","Greater South Pass 1","clp50_0_5",11.4972434389
"334","Greater South Pass 1","clp50_5_15",14.5144250219
"335","Greater South Pass 1","clp95_0_5",21.6971312536
"336","Greater South Pass 1","clp95_5_15",24.1019635941
"337","Greater South Pass 1","samn_0_5",57.7596055842
"338","Greater South Pass 1","samn_5_15",54.4826571831
"339","Greater South Pass 1","sap5_0_5",33.1081219034
"340","Greater South Pass 1","sap5_5_15",32.6980384044
"341","Greater South Pass 1","sap50_0_5",56.3498134656
"342","Greater South Pass 1","sap50_5_15",53.3945566088
"343","Greater South Pass 1","sap95_0_5",74.0165928397
"344","Greater South Pass 1","sap95_5_15",70.3538795755
"345","Greater South Pass 1","simn_0_5",27.019808249
"346","Greater South Pass 1","simn_5_15",26.7883920886
"347","Greater South Pass 1","sip5_0_5",9.99388868214
"348","Greater South Pass 1","sip5_5_15",11.6336331243
"349","Greater South Pass 1","sip50_0_5",24.8446319841
"350","Greater South Pass 1","sip50_5_15",24.3193759753
"351","Greater South Pass 1","sip95_0_5",40.2986759757
"352","Greater South Pass 1","sip95_5_15",39.7425960124
"353","Hanna","bdmn_0_5",1.29943216526
"354","Hanna","bdmn_5_15",1.31611594814
"355","Hanna","bdp5_0_5",1.14612483503
"356","Hanna","bdp5_5_15",1.18448550046
"357","Hanna","bdp50_0_5",1.27929962345
"358","Hanna","bdp50_5_15",1.29792995515
"359","Hanna","bdp95_0_5",1.4636765169
"360","Hanna","bdp95_5_15",1.46446818493
"361","Hanna","clmn_0_5",13.0059260132
"362","Hanna","clmn_5_15",15.535417493
"363","Hanna","clp5_0_5",5.35066132134
"364","Hanna","clp5_5_15",6.29040571032
"365","Hanna","clp50_0_5",11.5526062713
"366","Hanna","clp50_5_15",14.7146463316
"367","Hanna","clp95_0_5",22.2753221973
"368","Hanna","clp95_5_15",24.0765418466
"369","Hanna","samn_0_5",61.1607430226
"370","Hanna","samn_5_15",58.9943463389
"371","Hanna","sap5_0_5",35.3302938432
"372","Hanna","sap5_5_15",34.3480215244
"373","Hanna","sap50_0_5",61.9919481337
"374","Hanna","sap50_5_15",59.9839080457
"375","Hanna","sap95_0_5",80.0313517776
"376","Hanna","sap95_5_15",77.0882696362
"377","Hanna","simn_0_5",23.8490863424
"378","Hanna","simn_5_15",23.6397976044
"379","Hanna","sip5_0_5",6.99955594585
"380","Hanna","sip5_5_15",8.52986928998
"381","Hanna","sip50_0_5",21.8022511615
